o homem;the man
o mês;the month
minha vez;my turn
a hora;the hour
o momento;the moment
janeiro;January
fevereiro;February
março;March
abril;April
maio;May
junho;June
julho;July
agosto;August
setembro;September
outubro;October
novembro;November
dezembro;December
o verão;the summer
o outono;the autumn
o inverno;the winter
a primavera;the spring
tarde;afternoon
o século;the century
o minuto;the minute
a época;the era
o tempo;the time
o período;the period
a etapa;the stage
a festa;the party
a fase;the phase
a década;the decade
o instante;the instant
a geração;the generation
a juventude;the youth
o segundo;the second
o ciclo;the cycle
a estação;the season
a duração;the duration
o nascimento;the birth
a data;the date
a manhã;the morning
o início;the start
a feira;the market
o festival;the festival
o aniversário;the birthday
a mãe;the mother
o pai;the father
o filho;the son
o irmão;the brother
o tio;the uncle
a família;the family
o marido;the husband
a mamãe;the mommy
o papai;the daddy
o avô;the grandfather
o bebê;the baby
o primo;the cousin
o neto;the grandson
o nome;the name
o sobrinho;the nephew
o sobrenome;the last name
a comunidade;the community
grande;big
pequeno;little
alto;tall
curto;short
a medida;the measure
comprido;long
o tamanho;the size
justo;tight
largo;wide
enorme;huge
mesmo;same
o maestro;the conductor
o estudante;the student
o doutor;the doctor
o diretor;the principal
o chefe;the boss
o rei;the king
o secretário;the secretary
o autor;the author
a autoridade;the authority
o modelo;the model
o juiz;thejudge
o promotor;the prosecutor
o guarda;the guard
o representante;the representative
o professor;the teacher
o aluno;the student
o escritor;the writer
o empresário;the entrepreneur
o porta-voz;the spokesman
o advogado;the lawyer
o capitão;the captain
o artista;the artist
o jornalista;the journalist
o coronel;the colonel
o leitor;the reader
o príncipe;the prince
o pintor;the painter
o pesquisador;the researcher
o comandante;the commander
o agente;the agent
o usuário;the user
o dono;the owner
o especialista;the specialist
a profissão;the profession
o conselheiro;the adviser
o espectador;the viewer
o bispo;the bishop
o trabalho;the work
o emprego;the job
o arquiteto;the architect
o químico;the chemist
o motorista;the driver
o engenheiro;the engineer
o fazendeiro;the farmer
o pescador;the fisherman
o gerente;the manager
a ocupação;the occupation
o policial;the police officer
o carteiro;the postman
o trabalhador;the worker
a especialidade;the specialty
o oficial;the official
o profissional;the professional
a mesa;the table
a cama;the bed
a cadeira;the chair
a colher;the spoon
o telefone;the telephone
a televisão;the television
o berço;the crib
a janela;the window
o espelho;the mirror
o lustre;the lamp
o escritório;the office
a porta;the door
a parede;the wall
o forno;the oven
o teto;the ceiling
o chão;the floor
o apartamento;the apartment
a sacada;the balcony
o banheiro;the bathroom
o banho;the bath
o cobertor;the blanket
o tapete;the carpet
limpo;clean
limpar;to clean
o sofá;the couch
a cortina;the curtain
quinto andar;fifth floor
a geladeira;the fridge
o móvel;the piece of furniture
o portão;the gate
o aquecimento;the heating
a casa;the house
a lâmpada;the light bulb
a luz;the light
a tomada;the plug
o travesseiro;the pillow
o quarto;the bedroom
o xampu;the shampoo
o chuveiro;the shower
o sabão;the soap
a escada;the stairs
a ferramenta;the tool
a toalha;the towel
o brinquedo;the toy
o muro;the wall
a fonte;the source
a estrutura;the structure
a reforma;the reform
o óleo;the oil
o lençol;the sheet
o barbeador;the shaver
o centímetro;the centimeter
o grama;the gram
o quilo;the kilo
o quilômetro;the kilometer
o litro;the liter
o lote;the batch
o trimestre;the trimester
o total;the total
o metro;the meter
a média;the average
doente;sick
velho;old
jovem;young
bonito;beautiful
maior;bigger
primeiro;first
melhor;better
novo;new
possível;possible
importante;important
verdadeiro;true
real;real
diferente;different
pessoal;personal
duro;hard
militar;military
mundial;worldwide
público;public
popular;popular
menor;smaller
forte;strong
principal;main
único;unique
seguro;safe
humano;human
cultural;cultural
suficiente;sufficient
vago;vague
impossível;impossible
pior;worse
simples;simple
nacional;national
industrial;industrial
familiar;familiar
mau;evil
responsável;responsible
pobre;poor
franco;frank
histórico;historic
natural;natural
definitivo;definitive
rico;rich
recente;recent
regional;regional
preciso;precise
muito;much
último;last
calma;calm
incrível;incredible
barato;cheap
frio;cold
confortável;comfortable
certo;correct
perigoso;dangerous
querido;dear
difícil;difficult
sujo;dirty
seco;dry
vazio;empty
excelente;excellent
caro;expensive
famoso;famous
rápido;fast
pouco;little
estrangeiro;foreign
fácil;easy
existir;to exist
produzir;to produce
provar;to prove
sonhar;to dream
aparecer;to appear
apresentar;to introduce
procurar;to search
respeitar;to respect
caber;to fit
começar;to begin
acabar;to finish
contar;to count
parecer;to seem
fechar;to close
servir;to serve
assinar;to sign
entrar;to enter
importar;to import
depender;to depend
roubar;to steal
sentar;to sit
aprender;to learn
virar;to turn
escolher;to choose
escutar;to listen
enviar;to send
responder;to answer
mentir;to lie
construir;to build
preferir;to prefer
explicar;to explain
convidar;to invite
envolver;to involve
crescer;to grow
concordar;to agree
oferecer;to offer
agradecer;to thank
cantar;to sing
ensinar;to teach
chorar;to cry
juntar;to unite
guardar;to keep
viajar;to travel
voar;to fly
estudar;to study
atrasar;to delay
julgar;to judge
mover;to move
visitar;to visit
queimar;to burn
rir;to laugh
melhorar;to improve
apontar;to point
gritar;to shout
falhar;to fail
beijar;to kiss
carregar;to charge
encher;to fill
montar;to mount
treinar;to train
arrumar;to tidy up
observar;to observe
cuidar;to take care
acordar;to wake up
machucar;to hurt
entregar;to deliver
tanto;so much
ali;over there
cedo;early
especialmente;especially
somente;only
aonde;to where
atualmente;currently
praticamente;practically
embaixo;below
geralmente;generally
absolutamente;absolutely
mal;bad
tão alto;so tall
enquanto;While
além;beyond
pesado demais;too heavy
através;through
entanto;however
devagar;slowly
grátis;free
tantos;so many
depois;after
novamente;once again
só;only
já cheguei;I have already arrived
sempre;ever
antes;before
completamente;completely
aqui;here
definitivamente;definitely
facilmente;easily
igualmente;equally
exatamente;exactly
longe;far away
mais;more
finalmente;finally
imediatamente;immediately
dentro;inside
menos;less
felizmente;fortunately
quase;almost
perto;near
nunca;never
agora;now
fora;outside
principalmente;mainly
provavelmente;probably
recentemente;recently
simplesmente;simply
logo;soon
assim;like this
então;so
lá;there
também;also
acima;above
normalmente;normally
ainda;still
o restaurante;the restaurant
a praia;the beach
o hotel;the hotel
o jardim;the garden
o aeroporto;the airport
a rua;the street
a cidade;a cidade
o castelo;o castelo
a igreja;the church
o país;the country
o mercado;the market
a empresa;the company
a zona;the zone
a universidade;the university
o banco;the bank
o classe;the class
o teatro;the theater
a praça;the plaza
a região;the region
a sala;the living room
o tribunal;the court
a instituição;the institution
a área;the area
o hospital;the hospital
o departamento;the department
o terreno;the land
a propriedade;the property
o palácio;the palace
a ilha;the island
o povo;the people
o território;the territory
o edifício;the building
o bairro;the neighborhood
o museu;the museum
o colégio;the school
o parque;the park
a estrada;the road
a prisão;the prison
o lar;the home
a residência;the residence
a fronteira;the border
o pátio;the courtyard
a avenida;the avenue
o distrito;the district
o continente;the continent
o bar;the bar
o município;the county
o supermercado;the supermarket
a biblioteca;the library
o monte;the hill
a distância;the distance
o capital;the capital
o local;the local
a padaria;the bakery
a livraria;the book store
a ponte;the bridge
o centro;the center
o clube;the club
a esquina;the street corner
o campo;the field
o estádio;the stadium
a galeria;the gallery
o carro;the car
o mapa;the map
a bola;the ball
o dinheiro;the money
o pé;the foot
o computador;the computer
a mala;the suitcase
a moto;the motorcycle
o olho;the eye
o avião;the airplane
a coisa;the thing
a cabeça;the head
o papel;the paper
aos hospitais;to the hospitals
às meninas;to the girls
o dólar;the dollar
o objeto;the object
o texto;the text
o filme;the movie
o ouro;the gold
a página;the page
a revista;the magazine
a corrente;the chain
o documento;the document
a banda;the band
a foto;the photo
o aparelho;the device
o veículo;the vehicle
a ponta;the tip
o código;the code
a peça;the part
a máquina;the machine
a moeda;the coin
o motor;the engine
a coluna;the column
a bandeira;the flag
o automóvel;the automobile
a diferença;the difference
a nota;the note
a fotografia;the photography
a roda;the wheel
a caixa;the box
a escova;the brush
o pente;the comb
o diário;the diary
o envelope;the envelope
o ventilador;the fan
o teclado;the keyboard
a licença;the license
o pedaço;the piece
o presente;the gift
a tela;the screen
a folha;the leaf
a pilha;the battery
o guarda-chuva;the umbrella
o celular;the cell phone
nós estamos;we are
eu estou;I am
eles estão;They are
você está;you are
o amigo;the friend
o noivo;the groom
a pessoa;the person
o senhor;the older man
a comissão;the commission
a população;the population
o cultura;the culture
a associação;the association
a revolução;the revolution
o cidadão;the citizen
o vizinho;the neighbor
o colega;the coworker
a assembleia;the assembly
a audiência;the hearing
o casal;the couple
a fundação;the foundation
a vítima;the victim
a greve;the strike
o indivíduo;the individual
o turismo;the tourism
o sindicato dos professores;the teacher's union
a humanidade;the humanity
a secretária;the secretary
o inimigo;the enemy
o costume;the custom
a delegação;the delegation
o sócio;the partner
a testemunha;the witness
o adulto;the adult
o próximo;the next one
a idade;the age
o namorado;the boyfriend
a criança;the child
a multidão;the crowd
o gênero;the genre
a namorada;the girlfriend
o grupo;the group
o hóspede;the guest
o casamento;the wedding
a sociedade;the society
a liberdade;the freedom
a rainha;the queen
dois;two
três;three
quatro;four
cinco;five
seis;six
sete;seven
oito;eight
nove;nine
dez;ten
onze;eleven
doze;twelve
treze;thirteen
quatorze;fourteen
quinze;fifteen
dezesseis;sixteen
dezessete;seventeen
dezoito;eighteen
dezenove;nineteen
vinte;twenty
trinta;thirty
quarenta;forty
cinquenta;fifty
sessenta;sixty
setenta;seventy
oitenta;eighty
noventa;ninety
cem;one hundred
mil;thousand
zero;zero
um milhão;one million
segundo;second
terceiro;third
quarto;fourth
quinto;fifth
sexto;sixth
sétimo;seventh
oitavo;eighth
nono;ninth
o número;the number
a maioria;the majority
o par;the pair
a metade;the half
o dobro;the double
a tonelada;the tonne
algum;some
todo;all
qualquer;any
nenhum;none
cada;each
outro;other
vários;several
nadar;to swim
chover;to rain
pesar;to weigh
sair;to leave
evitar;to avoid
por;to put
realizar;to accomplish
viver;to live
obter;to get
criar;to create
conseguir;to attain
tratar;to treat
receber;to receive
resolver;to solve
considerar;to consider
duvidar;to doubt
salvar;to save
pedir;to request
continuar;to continue
misturar;to mix
exigir;to demand
reconhecer;to recognize
interessar;to interest
derrotar;to defeat
cortar;to cut
recusar;to refuse
dirigir;to drive
poder;to be able to
chamar;to call
aumentar;to increase
anunciar;to announce
iniciar;to start
levantar;to get up
sustentar;to sustain
merecer;to deserve
pular;to jump
odiar;to hate
pertencer;to belong
descansar;to rest
custar;to cost
cruzar;to cross
gastar;to spend
atuar;to act
doer;to hurt
sorrir;to smile
fumar;to smoke
telefonar;to phone
lavar;to wash
praticar;to practice
explorar;to explore
consertar;to fix
empurrar;to push
descrever;to describe
cozinhar;to cook
desenhar;to draw
poupar;to save up
reservar;to reserve
estacionar;to park
soar;to sound
conferir;to check
girar;to spin
acender;to light
introduzir;to introduce
pescar;to fish
acampar;to camp
navegar;to browse
assar;to bake
secar;to dry
fritar;to fry
frear;to brake
significar;to mean
aguentar;to endure
prometer;to promise
comentar;to comment
nascer;to be born
expressar;to express
negar;to deny
desenvolver;to develop
tirar;to take away
adorar;to adore
planejar;to plan
controlar;to control
comigo;with me
contigo;with you
conosco;with us
ambos;both
tudo;all
mim;me
ninguém;no one
alguém;someone
algo;something
cujo;whose
direto;direct
original;original
universal;universal
máximo;maximum
intelectual;intellectual
independente;independent
global;global
múltiplo;multiple
ideal;ideal
comercial;commercial
superior;higher
lógico;logical
triste;sad
médio;medium
fechado;closed
doce;sweet
profundo;deep
fundamental;fundamental
liberal;liberal
puro;pure
infantil;for children
positivo;positive
antigo;ancient
particular;private
clássico;classic
urbano;urban
chato;annoying
radical;radical
imediato;immediate
revolucionário;revolutionary
vital;vital
negativo;negative
mínimo;minimum
nervoso;nervous
vivo;alive
rural;rural
perfeito;perfect
básico;basic
formal;formal
feminino;female
ético;ethical
tranquilo;calm
livre;free
grave;serious
igual;same
gratuito;free
cheio;full
ótimo;great
pesado;heavy
quente;hot
interessante;interesting
internacional;international
baixo;low
moderno;modern
mensal;monthly
legal;alright
barulhento;noisy
aberto;open
raro;rare
macio;soft
especial;special
estranho;strange
ensolarado;sunny
útil;useful
morno;lukewarm
semanal;weekly
úmido;wet
maravilhoso;wonderful
espanhol;Spanish
europeu;European
norte-americano;North American
francês;French
chinês;Chinese
argentino;Argentine
mexicano;Mexican
italiano;Italian
americano;American
britânico;British
inglês;English
estadunidense;US American
cubano;Cuban
a nação;the nation
a pátria;the fatherland
a série;the series
o dicionário;the dictionary
o diploma;the diploma
o ensaio;the rehearsal
o exame;the exam
o dever de casa;the homework
a instrução;the instruction
o idioma;the language
a lição;the lesson
o parágrafo;the paragraph
o lápis;the pencil
a caneta;the pen
o semestre;the semester
o teste;the test
somar;to add
o exemplo;the example
o problema;the problem
o nível;the level
a educação;the education
o estudo;the study
o título;the title
o curso;the course
o capítulo;the chapter
a tarefa;the assignment
a ausência;the absence
a leitura;the reading
a inteligência;the intelligence
a seção;the section
o conhecimento;the knowledge
a discussão;the discussion
a academia;the academy
a faculdade;the college
a explicação;the explanation
o tema;the theme
a solução;the solution
a disciplina;the discipline
o intercâmbio;the exchange
a introdução;the introduction
a redação;the essay
a escola;the school
a geografia;the geography
o instituto;the institute
o conselho;the advice
a regra;the rule
o mestre;the master
publicar;to publish
dedicar;to dedicate
África;Africa
América;America
Ásia;Asia
brasileiro;Brazilian
Brasil;Brazil
China;China
chinês;Chinese
Inglaterra;England
Europa;Europe
França;France
francês;French
Alemanha;Germany
alemão;German
italiano;Italian
Itália;Italy
Espanha;Spain
o ônibus;the bus
o leste;the east
o voo;the flight
o guia;the guide
o norte;the north
o passageiro;the passenger
o passaporte;the passport
o piloto;the pilot
a vista;the view
o sul;the south
o táxi;the taxi
o pneu;the tire
o turista;the tourist
o trânsito;the traffic
o trem;the train
as férias;the vacation
a visita;the visit
o oeste;the west
o metrô;the subway
o evento;the event
a rodoviária;the bus terminal
o barco;the boat
a direita;the right
o lado;the side
o princípio;the principle
a entrada;the entrance
o exterior;the exterior
a saída;the exit
a chegada;the arrival
a busca;the search
o sinal;the traffic light
a orientação;the orientation
a viagem;the trip
o fim;the end
o caminho;the way
a direção;the direction
a frente;the front
o interior;the interior
a esquerda;the left
o começo;the beginning
a parada;the stop
o topo;the top
a rota;the route
a alegria;the joy
o amor;the love
a felicidade;the happiness
o sorriso;the smile
a tensão;the tension
a amizade;the friendship
feliz;happy
o medo;the fear
a dor;the pain
a esperança;the hope
a personalidade;the personality
a solidão;the loneliness
o prazer;the pleasure
a paixão;the passion
o humor;the humor
a satisfação;the satisfaction
a sensibilidade;the sensibility
a comemoração;the celebration
a curiosidade;the curiosity
a glória;the glory
a emoção;the emotion
o desejo;the desire
o sentimento;the feeling
a certeza;the certainty
a falta;the lack
a pena;the pity
o respeito;the respect
a culpa;the guilt
a vontade;the will
tímido;shy
ansioso;anxious
calmo;calm
confundir;to confuse
o sonho;the dream
o divertimento;the fun
o ódio;the hate
o beijo;the kiss
o riso;the laughter
assustar;scare
sério;serious
surpreso;surprised
preocupar;to worry
a intensidade;the intensity
a percepção;the perception
o jogador;the player
a equipe;the team
o exercício;the exercise
o torneio;the tournament
o campeão;the champion
o campeonato;the championship
a carreira;the career
o esporte;the sport
a final;the final
a vitória;the victory
a atividade;the activity
o atleta;the athlete
o basquete;the basketball
a bicicleta;the bicycle
o técnico;the coach
a competição;the competition
o jogo;the game
o gol;the goal
o ginásio;the gymnasium
o passatempo;the hobby
o salto;the jump
o lazer;the recreation
a partida;the match
o membro;the member
o prêmio;the award
o passeio;the tour
a navegação;the navigation
o futebol;the soccer
o time;the team
o tênis;the tennis
o integrante;the member
a pista;the track
a luta;the fight
a defesa;the defense
contra;against
o sistema;the system
o tipo;the type
o processo;the process
a realidade;the reality
a mudança;the change
a informação;the information
a verdade;the truth
a ação;the action
a paz;the peace
o setor;the sector
a imagem;the image
o movimento;the movement
a possibilidade;the possibility
a capacidade;the capacity
o efeito;the effect
a investigação;the investigation
a necessidade;the need
o programa;the program
o poder;the power
a qualidade;the quality
o controle;the control
o resultado;the result
o conjunto;the set
a importância;the importance
o objetivo;the objective
a origem;the origin
a existência;the existence
o crescimento;the growth
a formação;the formation
o sucesso;the success
a construção;the construction
a prática;the practice
a memória;the memory
a expressão;the expression
a consciência;the consciousness
a criação;the creation
o aspecto;the aspect
a olhada;the glance
a sorte;the luck
a ocasião;the occasion
o assunto;the subject matter
o conteúdo;the content
o julgamento;the judgment
a seleção;the selection
a rede;the network
o acesso;the access
a visão;the vision
a aplicação;the application
o pensamento;the thought
a altura;the height
o perigo;the danger
a cena;the scene
a personagem;the character
a referência;the reference
a intervenção;the intervention
a circunstância;the circumstance
o propósito;the purpose
o caso;the case
a decisão;the decision
o atraso;the delay
a ajuda;the help
a mentira;the lie
a senha;the password
o plano;the plan
descobrir;to discover
a intenção;the intention
a sensação;the sensation
o tom;the tone
o gesto;the gesture
a influência;the influence
a beleza;the beauty
a relação;the relationship
a reunião;the meeting
a unidade;the unit
a consequência;the consequence
a versão;the version
a tradição;the tradition
a situação;the situation
o ato;the act
a conferência;the conference
a perda;the loss
a distribuição;the distribution
a presença;the presence
a edição;the edition
a identidade;the identity
a apresentação;the presentation
a iniciativa;the initiative
o comportamento;the behavior
o compromisso;the commitment
o erro;the error
a divisão;the division
a continuação;the continuation
a mente;the mind
o canal;the channel
o posto;the post
a sombra;the shadow
a margem;the margin
a missão;the mission
a preocupação;the concern
a resistência;the resistance
o esforço;the effort
a perspectiva;the perspective
o fator;the factor
a categoria;the category
a concentração;the concentration
o contexto;the context
o motivo;the reason
a abertura;the opening
a honra;the honor
a proposta;the proposal
a sessão;the session
a experiência;the experience
o impacto;the impact
o domínio;the domain
o índice;the index
a composição;the composition
a exceção;the exception
a definição;the definition
o cheiro;the smell
a avaliação;the evaluation
o fracasso;the failure
a classificação;the classification
o cargo;the job role
a extensão;the extension
a surpresa;the surprise
o benefício;the benefit
o lugar;the place
acreditar;to believe
participar;to participate
formar;to form
diminuir;decrease
repetir;repeat
comprovar;prove
abandonar;to abandon
recuperar;to recover
aplicar;to apply
demonstrar;to demonstrate
defender;defend
analisar;analyze
subir;move up
garantir;guarantee
definir;to define
cobrir;to cover
acrescentar;add
assumir;take on
atender;answer
sofrer;suffer
impedir;hinder
eliminar;to eliminate
preparar;prepare
romper;burst
a saúde;the health
o sangue;the blood
o tratamento;the treatment
a boca;the mouth
a doença;the disease
o coração;the heart
o médico;the doctor
o risco;the risk
a operação;the operation
o rosto;the face
a pressão;the pressure
o braço;the arm
a medicina;the medicine
a perna;the leg
o pescoço;the neck
o lábio;the lip
o corpo;the body
o ouvido;the inner ear
o sintoma;the symptom
o dedo;the finger
o peito;the chest
a emergência;the emergency
o diagnóstico;the diagnosis
a dose;the dose
o órgão;the organ
a clínica;the clinic
a gravidade;the gravity
a lágrima;the tear
o nariz;the nose
o cabelo;the hair
o remédio;the medicine
a língua;the tongue
a circulação;the circulation
a mão;the hand
o acidente;the accident
a ambulância;the ambulance
o tornozelo;the ankle
as costas;the back
o cuidado;the caution
o dentista;the dentist
o joelho;the knee
o músculo;the muscle
a unha;the nail
o enfermeiro;the nurse
o paciente;the patient
a farmácia;the drugstore
o ombro;the shoulder
o enjoo;the nausea
o estômago;the stomach
a garganta;the throat
o vírus;the virus
a voz;the voice
o componente;the component
a proteção;the protection
o organismo;the organism
a postura;the posture
o dente;the tooth
a espera;the wait
a pele;the skin
o convênio;the medical insurance
o curativo;the bandage
escrevendo;writing
comendo;eating
caminhando;walking
bebendo;drinking
lendo;reading
dormindo;sleeping
nadando;swimming
vendo;seeing
cozinhando;cooking
correndo;running
pagando;paying
chovendo;raining
tocando;touching
procurando;searching
seguindo;following
tratando;treating
tomando;taking
incluindo;including
achando;finding
acontecendo;happening
desculpando;forgiving
errando;making mistakes
amando;loving
tirando;removing
lembrando;remembering
conversando;talking
indo;going
tendo;having
fazendo;doing
sabendo;knowing
dizendo;saying
querendo;wanting
ficando;staying
dando;giving
vindo;coming
falando;speaking
precisando;needing
pensando;thinking
esperando;waiting
passando;passing
gostando;liking
sentindo;feeling
chegando;arriving
voltando;returning
encontrando;finding
parando;stopping
olhando;looking at
entendendo;understanding
ajudando;helping
pegando;grabbing
usando;using
trabalhando em;working on
perdendo;losing
tentando;trying
cuidando;caring
lançando;launching
machucando;hurting
medindo;measuring
o estilo;the style
a literatura;the literature
o ritmo;the rhythm
a poesia;the poetry
o som;the sound
o instrumento;the instrument
a moda;the fashion
o concerto;the concert
a orquestra;the orchestra
a ópera;the opera
a atuação;the acting
o palco;the stage
o musical;the musical
a pintura;the painting
o ator;the actor
a atriz;the actress
o álbum;the album
a arte;the art
a câmera;the camera
a dança;the dance
dançar;to dance
o desenho;the drawing
o tambor;the drum
a exposição;the exhibition
filmar;to film
o violão acústico;the acoustic guitar
o músico;the musician
pintar;to paint
fotografar;to photograph
o piano;the piano
o assento;the seat
estrelar;to star
o estúdio;the studio
o vídeo;the video
o panorama;the panorama
o cinema;the movie theater
o disco;the disc
a novela;the soap opera
o cantor;the singer
o concurso;the contest
a dificuldade;the difficulty
a norma;the standard
a execução;the execution
a manutenção;the maintenance
o passo;the step
a consideração;the consideration
o esquema;the scheme
a transformação;the transformation
a infância;the childhood
a obrigação;the obligation
a coleção;the collection
o excesso;the excess
a homenagem;the tribute
a virtude;the virtue
a história;the history
o procedimento;the procedure
o círculo;the circle
a publicação;the publication
o crítico;the critic
a exploração;the exploration
a vantagem;the advantage
a atitude;the attitude
a instalação;the installation
o transporte;the transport
a dignidade;the dignity
o produtor;the producer
a opinião;the opinion
a comunicação;the communication
a variedade;the variety
a quantidade;the amount
a aventura;the adventure
a oportunidade;the opportunity
o sabor;the flavor
a conclusão;the conclusion
a opção;the option
